AUDIT DE MATCHING - Evangelion 64
======================================================================

FUNCIONES CON DIFERENCIAS:
----------------------------------------------------------------------


FUNCIONES CON MATCH:
----------------------------------------------------------------------
0x001050 | func_80096450                  |   24 bytes
0x001068 | func_80096468                  |   84 bytes
0x0010BC | func_800964BC                  |   64 bytes
0x0010FC | func_800964FC                  |   20 bytes
0x001110 | func_80096510                  |   76 bytes
0x00115C | func_8009655C                  |  256 bytes
0x00125C | func_8009665C                  |   80 bytes
0x0012AC | func_800966AC                  |  144 bytes
0x00133C | func_8009673C                  |  212 bytes
0x001410 | func_80096810                  |  380 bytes
0x00158C | func_8009698C                  |  356 bytes
0x0016F0 | func_80096AF0                  |  640 bytes
0x001970 | func_80096D70                  |  180 bytes
0x001A24 | func_80096E24                  |   64 bytes
0x001A64 | func_80096E64                  |  116 bytes
0x001AD8 | func_80096ED8                  |   44 bytes
0x001B04 | func_80096F04                  |   44 bytes
0x001B30 | func_80096F30                  |   96 bytes
0x001B90 | func_80096F90                  |   36 bytes
0x001BB4 | func_80096FB4                  |  176 bytes
0x001C64 | func_80097064                  |  192 bytes
0x001D24 | func_80097124                  |   12 bytes
0x001D30 | func_80097130                  |    8 bytes
0x001D38 | func_80097138                  |   12 bytes
0x001D44 | func_80097144                  |    8 bytes
0x001D4C | func_8009714C                  |   12 bytes
0x001D58 | func_80097158                  |   48 bytes
0x001D90 | func_80097190                  |   12 bytes
0x001D9C | func_8009719C                  |  128 bytes
0x001E1C | func_8009721C                  |   12 bytes
0x001E28 | func_80097228                  |  232 bytes
0x001F10 | func_80097310                  |  104 bytes
0x001F78 | func_80097378                  |  160 bytes
0x002018 | func_80097418                  |  284 bytes
0x002134 | func_80097534                  |   44 bytes
0x002160 | func_80097560                  |   76 bytes
0x0021AC | func_800975AC                  |  164 bytes
0x002250 | func_80097650                  |   28 bytes
0x002270 | func_80097670                  |  176 bytes
0x002320 | func_80097720                  |   92 bytes
0x002380 | func_80097780                  |  252 bytes
0x00247C | func_8009787C                  |   80 bytes
0x0024CC | func_800978CC                  |  192 bytes
0x00258C | func_8009798C                  |  212 bytes
0x002660 | func_80097A60                  |  172 bytes
0x00270C | func_80097B0C                  |  180 bytes
0x0027C0 | func_80097BC0                  | 1016 bytes
0x002BB8 | func_80097FB8                  |  304 bytes
0x002CE8 | func_800980E8                  |  612 bytes
0x002F50 | func_80098350                  |   60 bytes
0x002F8C | func_8009838C                  |   80 bytes
0x002FDC | func_800983DC                  |  192 bytes
0x00309C | func_8009849C                  |  212 bytes
0x003170 | func_80098570                  |  172 bytes
0x00321C | func_8009861C                  |  180 bytes
0x0032D0 | func_800986D0                  | 1016 bytes
0x0036C8 | func_80098AC8                  |  304 bytes
0x0037F8 | func_80098BF8                  |  612 bytes
0x003D74 | func_80099174                  |  196 bytes
0x003F0C | func_8009930C                  |  404 bytes
0x00413C | func_8009953C                  |  224 bytes
0x00421C | func_8009961C                  | 1340 bytes
0x004758 | func_80099B58                  | 1368 bytes
0x004CB0 | func_8009A0B0                  |  152 bytes
0x004D48 | func_8009A148                  |  892 bytes
0x0050C4 | func_8009A4C4                  |  196 bytes
0x005188 | func_8009A588                  |  280 bytes
0x0052A0 | func_8009A6A0                  |  320 bytes
0x0053E0 | func_8009A7E0                  |  520 bytes
0x0055E8 | func_8009A9E8                  |  612 bytes
0x005A40 | func_8009AE40                  |  520 bytes
0x005C48 | func_8009B048                  |  544 bytes
0x005E68 | func_8009B268                  |  468 bytes
0x00603C | func_8009B43C                  |  252 bytes
0x006184 | func_8009B584                  |   60 bytes
0x006254 | func_8009B654                  |  112 bytes
0x0062C4 | func_8009B6C4                  |   40 bytes
0x0062EC | func_8009B6EC                  |   36 bytes
0x006310 | func_8009B710                  |   68 bytes
0x006354 | func_8009B754                  |  220 bytes
0x006430 | func_8009B830                  |  232 bytes
0x006518 | func_8009B918                  |   32 bytes
0x006538 | func_8009B938                  |   60 bytes
0x006574 | func_8009B974                  |   36 bytes
0x006598 | func_8009B998                  |   60 bytes
0x0065D4 | func_8009B9D4                  |   60 bytes
0x006610 | func_8009BA10                  |  208 bytes
0x0066E0 | func_8009BAE0                  |   40 bytes
0x006708 | func_8009BB08                  | 1072 bytes
0x006B40 | func_8009BF40                  |  300 bytes
0x006C6C | func_8009C06C                  |  340 bytes
0x006DC0 | func_8009C1C0                  |  580 bytes
0x007004 | func_8009C404                  |  128 bytes
0x007084 | func_8009C484                  |  260 bytes
0x007188 | func_8009C588                  |  260 bytes
0x00728C | func_8009C68C                  |  516 bytes
0x007490 | func_8009C890                  |  212 bytes
0x007570 | func_8009C970                  |  168 bytes
0x007618 | func_8009CA18                  |  424 bytes
0x0077C0 | func_8009CBC0                  |  556 bytes
0x0079EC | func_8009CDEC                  |  348 bytes
0x007B48 | func_8009CF48                  |  136 bytes
0x007BD0 | func_8009CFD0                  |  168 bytes
0x007C78 | func_8009D078                  |  152 bytes
0x007D10 | func_8009D110                  |   16 bytes
0x007D20 | func_8009D120                  |  344 bytes
0x007E78 | func_8009D278                  |  128 bytes
0x007EF8 | func_8009D2F8                  |  348 bytes
0x008054 | func_8009D454                  |  344 bytes
0x0081AC | func_8009D5AC                  |  384 bytes
0x00832C | func_8009D72C                  |  624 bytes
0x00859C | func_8009D99C                  |  776 bytes
0x0088A4 | func_8009DCA4                  |   12 bytes
0x0088B0 | func_8009DCB0                  |   12 bytes
0x0088BC | func_8009DCBC                  |  140 bytes
0x008948 | func_8009DD48                  |  760 bytes
0x008C40 | func_8009E040                  |    8 bytes
0x008C50 | func_8009E050                  |  432 bytes
0x008E00 | func_8009E200                  |  172 bytes
0x008EAC | func_8009E2AC                  |  512 bytes
0x0090AC | func_8009E4AC                  |  196 bytes
0x009170 | func_8009E570                  |   24 bytes
0x009188 | func_8009E588                  |  224 bytes
0x009268 | func_8009E668                  |  996 bytes
0x00964C | func_8009EA4C                  |  160 bytes
0x0096EC | func_8009EAEC                  |  232 bytes
0x0097D4 | func_8009EBD4                  |   20 bytes
0x0097E8 | func_8009EBE8                  |   60 bytes
0x009824 | func_8009EC24                  |   16 bytes
0x009840 | func_8009EC40                  |  672 bytes
0x009AE0 | func_8009EEE0                  |  172 bytes
0x009B8C | func_8009EF8C                  |  492 bytes
0x009D78 | func_8009F178                  |   24 bytes
0x009D90 | func_8009F190                  |   36 bytes
0x009DB4 | func_8009F1B4                  |  512 bytes
0x009FB4 | func_8009F3B4                  |  248 bytes
0x00A0AC | func_8009F4AC                  |   40 bytes
0x00A0D4 | func_8009F4D4                  |   20 bytes
0x00A0E8 | func_8009F4E8                  |   60 bytes
0x00A124 | func_8009F524                  |   16 bytes
0x00A140 | func_8009F540                  |   88 bytes
0x00A198 | func_8009F598                  |  268 bytes
0x00A2B0 | func_8009F6B0                  |  944 bytes
0x00A660 | func_8009FA60                  |  456 bytes
0x00A828 | func_8009FC28                  |  160 bytes
0x00A8C8 | func_8009FCC8                  |  176 bytes
0x00A978 | func_8009FD78                  |   36 bytes
0x00A99C | func_8009FD9C                  |   64 bytes
0x00A9DC | func_8009FDDC                  | 1952 bytes
0x00B17C | func_800A057C                  | 1060 bytes
0x00B5A0 | func_800A09A0                  |  340 bytes
0x00B6F4 | func_800A0AF4                  |  716 bytes
0x00B9C0 | func_800A0DC0                  |  740 bytes
0x00BCA4 | func_800A10A4                  |  596 bytes
0x00BEF8 | func_800A12F8                  |  120 bytes
0x00BF70 | func_800A1370                  |  140 bytes
0x00BFFC | func_800A13FC                  |   40 bytes
0x00C024 | func_800A1424                  |   32 bytes
0x00C044 | func_800A1444                  |  160 bytes
0x00C0E4 | func_800A14E4                  |   32 bytes
0x00C104 | func_800A1504                  |  160 bytes
0x00C1A4 | func_800A15A4                  |   36 bytes
0x00C1C8 | func_800A15C8                  |  168 bytes
0x00C270 | func_800A1670                  |   32 bytes
0x00C290 | func_800A1690                  |  160 bytes
0x00C330 | func_800A1730                  |   32 bytes
0x00C350 | func_800A1750                  |  160 bytes
0x00C3F0 | func_800A17F0                  |   56 bytes
0x00C428 | func_800A1828                  |  172 bytes
0x00C4D4 | func_800A18D4                  |   96 bytes
0x00C534 | func_800A1934                  |  320 bytes
0x00C674 | func_800A1A74                  |   28 bytes
